productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extAttribute,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCounterplus,extLife
455801,Monkey.D.Luffy - P-007 (Tournament Pack Vol. 1),MonkeyDLuffy P 007 Tournament Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/455801_200w.jpg,68,17675,https://cpt.tcgcsv.com/2lG5,2022-12-05T14:14:03.497,1,PR,P-007,"[DON!! x1] This Character cannot be K.O.'d in battle by ""Strike"" attribute Leaders or Characters.",Red,Character,4,5000,Straw Hat Crew;Supernovas,Strike,0.7,1.26,17.0,0.99,,Normal,1000,
455802,Yamato (Tournament Pack Vol. 1),Yamato Tournament Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/455802_200w.jpg,68,17675,https://cpt.tcgcsv.com/3lG5,2022-12-05T14:14:17.633,1,PR,P-008,[Activate: Main] <strong>You may rest this Character:</strong> Rest 1 of your opponent's Characters with a cost of 2 or less.,Green,Character,3,5000,Wano Country,Strike,0.96,2.25,25.0,1.02,,Normal,,
455804,Trafalgar Law (Tournament Pack Vol. 1),Trafalgar Law Tournament Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/455804_200w.jpg,68,17675,https://cpt.tcgcsv.com/6lG5,2022-12-05T14:14:07.863,1,PR,P-009,"[On Play] If your opponent has 6 or more cards in their hand, your opponent adds 1 card from their Life area to their hand.",Blue,Character,6,7000,Heart Pirates;Supernovas,Slash,2.2,3.58,21.5,2.42,,Normal,,
455805,Kaido (Tournament Pack Vol. 1),Kaido Tournament Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/455805_200w.jpg,68,17675,https://cpt.tcgcsv.com/7lG5,2022-12-05T14:13:17.217,1,PR,P-010,[End of Your Turn] Add 1 DON!! card from your DON!! deck and set it as active.,Purple,Character,8,9000,Animal Kingdom Pirates;The Four Emperors,Special,1.79,2.51,29.99,1.97,,Normal,,
455814,Usopp - OP01-004 (Treasure Cup),Usopp OP01 004 Treasure Cup,https://tcgplayer-cdn.tcgplayer.com/product/455814_200w.jpg,68,17675,https://cpt.tcgcsv.com/jlG5,2023-02-06T19:41:44.827,1,PR,OP01-004,[DON!! x1] [Your Turn] [Once Per Turn] Draw 1 card when your opponent activates an Event.,Red,Character,2,3000,Straw Hat Crew,Ranged,380.0,399.95,799.95,,,Foil,2000,
455815,Tony Tony.Chopper - ST01-006 (Treasure Cup),Tony TonyChopper ST01 006 Treasure Cup,https://tcgplayer-cdn.tcgplayer.com/product/455815_200w.jpg,68,17675,https://cpt.tcgcsv.com/klG5,2023-02-06T19:41:48.773,1,PR,ST01-006,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,1,1000,Animal;Straw Hat Crew,Strike,153.43,185.47,500.0,173.9,,Normal,,
455816,Roronoa Zoro - ST01-013 (Treasure Cup),Roronoa Zoro ST01 013 Treasure Cup,https://tcgplayer-cdn.tcgplayer.com/product/455816_200w.jpg,68,17675,https://cpt.tcgcsv.com/llG5,2023-02-06T19:44:05.067,1,PR,ST01-013,[DON!! x1] This Character gains +1000 power.,Red,Character,3,5000,Straw Hat Crew;Supernovas,Slash,1374.0,1374.0,1374.0,,,Foil,,
455819,Portgas.D.Ace (Event Pack Vol. 1),PortgasDAce Event Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/455819_200w.jpg,68,17675,https://cpt.tcgcsv.com/plG5,2023-02-06T19:45:19.297,1,PR,P-028,[Double Attack] <em>(This card deals 2 damage.)</em>,Red,Character,5,6000,Whitebeard Pirates,Special,15.75,24.25,63.79,13.23,,Foil,,
455820,Bartolomeo (Event Pack Vol. 1),Bartolomeo Event Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/455820_200w.jpg,68,17675,https://cpt.tcgcsv.com/qlG5,2023-02-06T19:45:16.017,1,PR,P-029,"[End of your Turn] <strong>You may rest this Character:</strong> Set up to 1 of your ""FILM"" type Characters other than [Bartolomeo] as active.",Green,Character,2,3000,Barto Club Pirates;Film;Supernovas,Special,2.49,5.25,99.99,4.91,,Foil,1000,
455823,Jinbe (Event Pack Vol. 1),Jinbe Event Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/455823_200w.jpg,68,17675,https://cpt.tcgcsv.com/tlG5,2023-02-06T19:45:12.08,1,PR,P-030,[On K.O.] Place up to 1 Character with a cost of 3 or less at the bottom of the owner's deck.,Blue,Character,4,5000,Fish-Man;The Seven Warlords of the Sea;The Sun Pirates,Strike,3.6,5.0,89.89,4.46,,Foil,1000,
455824,Uta (Event Pack Vol. 1),Uta Event Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/455824_200w.jpg,68,17675,https://cpt.tcgcsv.com/vlG5,2023-02-06T19:45:08.583,1,PR,P-031,[On Play] Add up to 1 DON!! card from your DON!! deck and rest it.,Purple,Character,5,6000,Film,Special,5.28,9.0,79.0,6.31,,Foil,,
455825,Sengoku (Event Pack Vol. 1),Sengoku Event Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/455825_200w.jpg,68,17675,https://cpt.tcgcsv.com/wlG5,2023-02-06T19:45:05.067,1,PR,P-032,[DON!! x1] [Your Turn] Give all of your opponent's Characters -2 cost.,Black,Character,5,6000,Navy,Wisdom,5.1,6.87,99.0,5.88,,Foil,,
457013,Tournament Pack Vol. 1,Tournament Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/457013_200w.jpg,68,17675,https://cpt.tcgcsv.com/hQG5,2023-10-13T18:49:32.54,1,,,,,,,,,,14.99,24.5,100.0,6.97,,Normal,,
457017,Winner Pack Vol. 1,Winner Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/457017_200w.jpg,68,17675,https://cpt.tcgcsv.com/mQG5,2023-10-13T18:53:47.787,1,,,,,,,,,,34.21,35.0,64.99,23.46,,Normal,,
457018,Monkey.D.Luffy - P-006 (Winner Pack Vol. 1),MonkeyDLuffy P 006 Winner Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/457018_200w.jpg,68,17675,https://cpt.tcgcsv.com/nQG5,2022-12-05T14:31:07.7,1,PR,P-006,[DON!! x2] [Your Turn] This Character gains +2000 power.,Red,Character,3,3000,Straw Hat Crew;Supernovas,Strike,13.73,20.81,100.0,18.7,,Normal,2000,
457019,Monkey.D.Luffy - P-007 (Winner Pack Vol. 1),MonkeyDLuffy P 007 Winner Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/457019_200w.jpg,68,17675,https://cpt.tcgcsv.com/pQG5,2022-12-05T14:32:19.977,1,PR,P-007,"[DON!! x1] This Character cannot be K.O.'d in battle by ""Strike"" attribute Leaders or Characters.",Red,Character,4,5000,Straw Hat Crew;Supernovas,Strike,4.48,7.15,69.99,6.76,,Normal,1000,
457021,Yamato - P-008 (Winner Pack Vol. 1),Yamato P 008 Winner Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/457021_200w.jpg,68,17675,https://cpt.tcgcsv.com/rQG5,2022-12-05T14:34:56.14,1,PR,P-008,[Activate:Main] <strong>You may rest this Character:</strong> Rest 1 of your opponent's Characters with a cost of 2 or less.,Green,Character,3,5000,Land of Wano,Strike,9.91,12.08,47.99,11.88,,Normal,,
457023,Trafalgar Law - P-009 (Winner Pack Vol. 1),Trafalgar Law P 009 Winner Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/457023_200w.jpg,68,17675,https://cpt.tcgcsv.com/tQG5,2022-12-05T14:47:03.907,1,PR,P-009,"[On Play] If your opponent has 6 or more cards in their hand, your opponent adds 1 card from their Life area to their hand.",Blue,Character,6,7000,Heart Pirates;Supernovas,Slash,5.78,7.39,75.0,6.99,,Normal,,
457024,Kaido - P-010 (Winner Pack Vol. 1),Kaido P 010 Winner Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/457024_200w.jpg,68,17675,https://cpt.tcgcsv.com/vQG5,2022-12-05T14:50:02.21,1,PR,P-010,[End of Your Turn] Add 1 DON!! card from your DON!! deck and set it as active.,Purple,Character,8,9000,Animal Kingdom Pirates;The Four Emperors,Special,4.58,6.54,50.0,6.23,,Normal,,
457025,Uta (One Piece Film Red),Uta One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457025_200w.jpg,68,17675,https://cpt.tcgcsv.com/wQG5,2022-12-05T14:56:55.383,1,PR,P-011,[Activate:Main] [Once Per Turn] (1) <em>(You may rest the specified number of DON!! cards in your cost area)</em>: Up to 1 of your Characters with no base effect gains +2000 power during this turn.,Red,Leader,,5000,Film,Special,0.41,0.99,4.95,0.66,,Normal,,5
457026,Jellyfish Pirates (One Piece Film Red),Jellyfish Pirates One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457026_200w.jpg,68,17675,https://cpt.tcgcsv.com/xQG5,2022-12-05T16:01:58.31,1,PR,P-012,,Red,Character,3,5000,Film;Jellyfish Pirates,Special,0.1,0.31,3.95,0.27,,Normal,1000,
457027,Gordon (One Piece Film Red),Gordon One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457027_200w.jpg,68,17675,https://cpt.tcgcsv.com/zQG5,2022-12-05T16:04:59.703,1,PR,P-013,[Activate:Main] <strong>You may place this Character at the bottom of the owner's deck:</strong> Give up to 1 of your opponent's Characters -3000 power during this turn.,Red,Character,1,2000,Film,Wisdom,2.9,4.63,63.85,3.29,,Normal,,
457029,Koby (One Piece Film Red),Koby One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457029_200w.jpg,68,17675,https://cpt.tcgcsv.com/CQG5,2022-12-05T16:06:29.337,1,PR,P-014,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[Trigger] Play this card.",Red,Character,3,3000,Film;Navy,Strike,0.09,0.47,20.0,0.3,,Normal,,
457031,Sunny-Kun (One Piece Film Red),Sunny Kun One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457031_200w.jpg,68,17675,https://cpt.tcgcsv.com/FQG5,2022-12-05T16:07:37.57,1,PR,P-015,,Red,Character,1,3000,Film;Straw Hat Crew,Wisdom,0.5,1.0,11.0,0.74,,Normal,1000,
457032,Shanks (One Piece Film Red),Shanks One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457032_200w.jpg,68,17675,https://cpt.tcgcsv.com/GQG5,2022-12-05T16:08:55.32,1,PR,P-016,,Red,Character,8,10000,Film;The Four Emperors;Red-Haired Pirates,Slash,0.89,1.47,10.0,1.02,,Normal,1000,
457033,Trafalgar Law (One Piece Film Red),Trafalgar Law One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457033_200w.jpg,68,17675,https://cpt.tcgcsv.com/HQG5,2022-12-05T16:09:57.667,1,PR,P-017,[On Play] Give up to 1 of your opponent's Characters -2000 power during this turn.,Red,Character,4,5000,Film;Heart Pirates;Supernovas,Slash,0.35,1.0,33.75,0.51,,Normal,1000,
457034,Bartolomeo (One Piece Film Red),Bartolomeo One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457034_200w.jpg,68,17675,https://cpt.tcgcsv.com/JQG5,2022-12-05T16:11:58.883,1,PR,P-018,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,2,3000,Barto Club Pirates;Film;Supernovas,Strike,0.18,0.5,4.95,0.31,,Normal,,
457035,Bepo (One Piece Film Red),Bepo One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457035_200w.jpg,68,17675,https://cpt.tcgcsv.com/KQG5,2022-12-05T16:14:19.69,1,PR,P-019,[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.,Red,Character,3,2000,Film;Heart Pirates;Minks,Strike,0.35,1.0,13.99,0.57,,Normal,2000,
457036,Helmeppo (One Piece Film Red),Helmeppo One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457036_200w.jpg,68,17675,https://cpt.tcgcsv.com/LQG5,2022-12-05T16:15:19.25,1,PR,P-020,[On Play] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,Red,Character,1,2000,Film;Navy,Slash,0.14,0.49,3.95,0.32,,Normal,1000,
457038,Benn.Beckman (One Piece Film Red),BennBeckman One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457038_200w.jpg,68,17675,https://cpt.tcgcsv.com/NQG5,2022-12-05T16:16:22.213,1,PR,P-021,,Red,Character,7,9000,Film;Red-Haired Pirates,Ranged,0.7,1.0,7.95,0.94,,Normal,1000,
457039,Monkey.D.Luffy (One Piece Film Red),MonkeyDLuffy One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457039_200w.jpg,68,17675,https://cpt.tcgcsv.com/PQG5,2022-12-05T16:17:24.19,1,PR,P-022,,Red,Character,4,6000,Film;Straw Hat Crew;Supernovas,Strike,0.65,1.09,10.0,0.99,,Normal,1000,
457040,Yasopp (One Piece Film Red),Yasopp One Piece Film Red,https://tcgplayer-cdn.tcgplayer.com/product/457040_200w.jpg,68,17675,https://cpt.tcgcsv.com/QQG5,2022-12-05T16:18:39.177,1,PR,P-023,,Red,Character,6,8000,Film;Red-Haired Pirates,Ranged,1.5,2.1,9.95,1.73,,Normal,1000,
457043,Promotion Pack 2022,Promotion Pack 2022,https://tcgplayer-cdn.tcgplayer.com/product/457043_200w.jpg,68,17675,https://cpt.tcgcsv.com/TQG5,2022-12-05T16:47:59.077,1,,,,,,,,,,8.78,15.99,34.0,8.74,,Normal,,
482215,Smoker (Pre-Release),Smoker Pre Release,https://tcgplayer-cdn.tcgplayer.com/product/482215_200w.jpg,68,17675,https://cpt.tcgcsv.com/kVS5,2023-03-03T20:03:30.183,1,PR,P-025,"[DON!! x1] This Character cannot be K.O.'d in battle by Characters without the ""Special"" attribute.",Black,Character,3,5000,Navy,Special,1.0,1.75,100.0,1.32,,Normal,,
482216,Smoker (Pre-Release) [Winner],Smoker Pre Release Winner,https://tcgplayer-cdn.tcgplayer.com/product/482216_200w.jpg,68,17675,https://cpt.tcgcsv.com/lVS5,2023-03-03T20:03:39.417,1,PR,P-025,"[DON!! x1] This Character cannot be K.O.'d in battle by Characters without the ""Special"" attribute.",Black,Character,3,5000,Navy,Special,26.85,31.97,250.0,31.7,,Foil,,
482218,Trafalgar Law (Online Regional 2023) [Participant],Trafalgar Law Online Regional 2023 Participant,https://tcgplayer-cdn.tcgplayer.com/product/482218_200w.jpg,68,17675,https://cpt.tcgcsv.com/nVS5,2023-04-17T13:18:05.183,1,PR,OP02-035,[Activate:Main] (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> <strong>You may return this Character to the owner's hand:</strong> Play up to 1 Character with a cost of 3 from your hand.,Green,Character,2,3000,Heart Pirates;Supernovas,Slash,17.46,18.99,69.95,26.9,,Foil,1000,
482219,Trafalgar Law (Online Regional 2023) [Finalist],Trafalgar Law Online Regional 2023 Finalist,https://tcgplayer-cdn.tcgplayer.com/product/482219_200w.jpg,68,17675,https://cpt.tcgcsv.com/pVS5,2023-04-17T13:18:01.163,1,PR,OP02-035,[Activate:Main] (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> <strong>You may return this Character to the owner's hand:</strong> Play up to 1 Character with a cost of 3 from your hand.,Green,Character,2,3000,Heart Pirates;Supernovas,Slash,96.57,122.8,249.95,125.6,,Foil,1000,
482220,Trafalgar Law (Online Regional 2023) [Winner],Trafalgar Law Online Regional 2023 Winner,https://tcgplayer-cdn.tcgplayer.com/product/482220_200w.jpg,68,17675,https://cpt.tcgcsv.com/qVS5,2023-04-17T13:18:08.95,1,PR,OP02-035,[Activate:Main] (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> <strong>You may return this Character to the owner's hand:</strong> Play up to 1 Character with a cost of 3 from your hand.,Green,Character,2,3000,Heart Pirates;Supernovas,Slash,,,,,,,1000,
482221,Koby (Online Regional 2023) [Participant],Koby Online Regional 2023 Participant,https://tcgplayer-cdn.tcgplayer.com/product/482221_200w.jpg,68,17675,https://cpt.tcgcsv.com/rVS5,2023-04-17T13:19:43.98,1,PR,OP02-098,[On Play] <strong>You may trash 1 card from your hand:</strong> K.O. up to 1 of your opponent's Characters with a cost of 3 or less.,Black,Character,3,4000,Navy,Strike,35.21,48.96,59.95,28.57,,Foil,1000,
482222,Koby (Online Regional 2023) [Finalist],Koby Online Regional 2023 Finalist,https://tcgplayer-cdn.tcgplayer.com/product/482222_200w.jpg,68,17675,https://cpt.tcgcsv.com/sVS5,2023-04-17T13:19:40.003,1,PR,OP02-098,[On Play] <strong>You may trash 1 card from your hand:</strong> K.O. up to 1 of your opponent's Characters with a cost of 3 or less.,Black,Character,3,4000,Navy,Strike,73.69,93.94,199.95,103.29,,Foil,1000,
482223,Koby (Online Regional 2023) [Winner],Koby Online Regional 2023 Winner,https://tcgplayer-cdn.tcgplayer.com/product/482223_200w.jpg,68,17675,https://cpt.tcgcsv.com/tVS5,2023-04-17T13:19:52.5,1,PR,OP02-098,[On Play] <strong>You may trash 1 card from your hand:</strong> K.O. up to 1 of your opponent's Characters with a cost of 3 or less.,Black,Character,3,4000,Navy,Strike,,,,,,,1000,
482224,Sanji (Online Regional 2023) [Participant],Sanji Online Regional 2023 Participant,https://tcgplayer-cdn.tcgplayer.com/product/482224_200w.jpg,68,17675,https://cpt.tcgcsv.com/vVS5,2023-04-17T13:17:08.187,1,PR,ST01-004,[DON!! x2] This Character gains [Rush]. <em>(This card can attack on the turn in which it is played.</em>,Red,Character,2,4000,Straw Hat Crew,Strike,7.45,13.0,46.95,13.44,,Foil,,
482225,Sanji (Online Regional 2023) [Finalist],Sanji Online Regional 2023 Finalist,https://tcgplayer-cdn.tcgplayer.com/product/482225_200w.jpg,68,17675,https://cpt.tcgcsv.com/wVS5,2023-04-17T13:17:04.13,1,PR,ST01-004,[DON!! x2] This Character gains [Rush]. <em>(This card can attack on the turn in which it is played.</em>,Red,Character,2,4000,Straw Hat Crew,Strike,34.99,47.69,79.01,34.99,,Foil,,
482226,Sanji (Online Regional 2023) [Winner],Sanji Online Regional 2023 Winner,https://tcgplayer-cdn.tcgplayer.com/product/482226_200w.jpg,68,17675,https://cpt.tcgcsv.com/xVS5,2023-04-17T13:17:13.203,1,PR,ST01-004,[DON!! x2] This Character gains [Rush]. <em>(This card can attack on the turn in which it is played.</em>,Red,Character,2,4000,Straw Hat Crew,Strike,,,,,,,,
482227,Marshall.D.Teach (Online Regional 2023) [Participant],MarshallDTeach Online Regional 2023 Participant,https://tcgplayer-cdn.tcgplayer.com/product/482227_200w.jpg,68,17675,https://cpt.tcgcsv.com/zVS5,2023-04-17T13:18:40.527,1,PR,ST03-014,[On Play] Return up to 1 Character with a cost of 3 or less to the owner's hand.,Blue,Character,4,4000,Blackbeard Pirates;The Seven Warlords of the Sea,Special,8.0,11.0,49.99,12.18,,Foil,1000,
482228,Marshall.D.Teach (Online Regional 2023) [Finalist],MarshallDTeach Online Regional 2023 Finalist,https://tcgplayer-cdn.tcgplayer.com/product/482228_200w.jpg,68,17675,https://cpt.tcgcsv.com/BVS5,2023-04-17T13:18:34.783,1,PR,ST03-014,[On Play] Return up to 1 Character with a cost of 3 or less to the owner's hand.,Blue,Character,4,4000,Blackbeard Pirates;The Seven Warlords of the Sea,Special,42.47,43.72,99.95,45.58,,Foil,1000,
482229,Marshall.D.Teach (Online Regional 2023) [Winner],MarshallDTeach Online Regional 2023 Winner,https://tcgplayer-cdn.tcgplayer.com/product/482229_200w.jpg,68,17675,https://cpt.tcgcsv.com/CVS5,2023-04-17T13:18:43.847,1,PR,ST03-014,[On Play] Return up to 1 Character with a cost of 3 or less to the owner's hand.,Blue,Character,4,4000,Blackbeard Pirates;The Seven Warlords of the Sea,Special,,,,,,,1000,
482230,Jack (Online Regional 2023) [Participant],Jack Online Regional 2023 Participant,https://tcgplayer-cdn.tcgplayer.com/product/482230_200w.jpg,68,17675,https://cpt.tcgcsv.com/DVS5,2023-04-17T13:19:09.407,1,PR,ST04-008,[On Play] <strong>You may trash 1 card from your hand: Add up to 1 DON!! card from your DON!! deck and set it as acitve.,Purple,Character,3,4000,Animal Kingdom Pirates,Strike,5.15,8.18,34.48,6.32,,Foil,1000,
482231,Jack (Online Regional 2023) [Finalist],Jack Online Regional 2023 Finalist,https://tcgplayer-cdn.tcgplayer.com/product/482231_200w.jpg,68,17675,https://cpt.tcgcsv.com/FVS5,2023-04-17T13:18:59.59,1,PR,ST04-008,[On Play] <strong>You may trash 1 card from your hand: Add up to 1 DON!! card from your DON!! deck and set it as acitve.,Purple,Character,3,4000,Animal Kingdom Pirates,Strike,24.98,38.02,99.95,46.19,,Foil,1000,
482232,Jack (Online Regional 2023) [Winner],Jack Online Regional 2023 Winner,https://tcgplayer-cdn.tcgplayer.com/product/482232_200w.jpg,68,17675,https://cpt.tcgcsv.com/GVS5,2023-04-17T13:19:13.153,1,PR,ST04-008,[On Play] <strong>You may trash 1 card from your hand: Add up to 1 DON!! card from your DON!! deck and set it as acitve.,Purple,Character,3,4000,Animal Kingdom Pirates,Strike,,,,,,,1000,
482233,Charlotte Pudding (Online Regional 2023) [Participant],Charlotte Pudding Online Regional 2023 Participant,https://tcgplayer-cdn.tcgplayer.com/product/482233_200w.jpg,68,17675,https://cpt.tcgcsv.com/HVS5,2023-04-17T13:20:14.677,1,PR,ST07-008,"[On Play] Look at up to 1 card from the top of yours or your opponent's Life cards, and place it at the top or bottom of the Life cards.",Yellow,Character,2,3000,Big Mom Pirates,Wisdom,19.42,24.68,90.0,24.68,,Foil,2000,
482234,Charlotte Pudding (Online Regional 2023) [Finalist],Charlotte Pudding Online Regional 2023 Finalist,https://tcgplayer-cdn.tcgplayer.com/product/482234_200w.jpg,68,17675,https://cpt.tcgcsv.com/JVS5,2023-04-17T13:20:10.593,1,PR,ST07-008,"[On Play] Look at up to 1 card from the top of yours or your opponent's Life cards, and place it at the top or bottom of the Life cards.",Yellow,Character,2,3000,Big Mom Pirates,Wisdom,52.99,54.58,114.95,56.84,,Foil,2000,
482235,Charlotte Pudding (Online Regional 2023) [Winner],Charlotte Pudding Online Regional 2023 Winner,https://tcgplayer-cdn.tcgplayer.com/product/482235_200w.jpg,68,17675,https://cpt.tcgcsv.com/KVS5,2023-04-17T13:20:18.473,1,PR,ST07-008,"[On Play] Look at up to 1 card from the top of yours or your opponent's Life cards, and place it at the top or bottom of the Life cards.",Yellow,Character,2,3000,Big Mom Pirates,Wisdom,,,,,,,2000,
